IR0_cam,IR1_cam,IR2_cam,IR3_cam,IR0_meas,IR1_meas,IR2_meas,IR3_meas
6.2,0.2,8.2,28.2,172.0,474.0,963.0,733.0
6.2,0.2,8.2,28.21,171.0,442.0,963.0,800.0
6.38,0.29,8.41,28.7,173.0,450.0,963.0,891.0
8.3,2.26,6.29,26.43,176.5,554.0,961.5,728.5
8.2,2.2,6.2,26.21,179.0,658.0,960.0,566.0
12.57,3.09,3.09,14.2,309.0,953.0,958.5,214.0
22.52,0.27,6.34,14.43,293.0,700.0,968.5,232.5
22.43,0.25,6.3,14.37,293.0,700.0,968.0,232.0
22.52,0.27,6.34,14.43,293.0,700.0,968.0,232.0
17.58,0.41,6.62,14.89,293.0,700.0,968.0,232.0
19.62,0.37,6.55,14.78,293.0,633.0,969.0,246.5
17.58,0.41,6.62,14.89,293.0,633.0,969.0,247.0
15.66,0.45,6.7,15.03,293.0,633.0,969.0,246.0
8.53,0.81,7.41,16.22,306.0,784.0,963.0,232.0
6.04,1.16,8.12,17.4,249.0,552.0,961.0,336.0
5.93,1.18,8.17,17.48,243.0,533.0,960.0,371.0
5.66,1.24,8.29,17.68,243.0,533.0,960.0,371.0
5.99,1.17,8.14,17.44,243.0,533.0,960.0,372.0
6.4,1.09,7.98,17.17,243.0,533.0,960.0,372.0
6.35,1.1,8.0,17.2,254.0,561.0,962.0,313.0
6.87,1.01,7.83,16.91,254.0,561.0,962.0,313.0
6.87,1.01,7.83,16.91,255.0,563.0,962.0,309.0
6.4,1.09,7.98,17.17,255.0,563.0,962.0,309.0
6.4,1.09,7.98,17.17,255.0,563.0,962.0,309.0
5.59,1.26,8.32,17.73,253.0,556.0,962.0,319.5
6.83,1.02,7.84,16.93,252.0,556.0,962.0,319.0
6.83,1.02,7.84,16.93,252.0,556.0,962.0,319.0
6.83,1.02,7.84,16.93,253.0,556.0,962.0,319.0
5.99,1.17,8.14,17.44,252.5,556.0,962.0,319.0
5.99,1.17,8.14,17.44,252.0,556.0,962.0,319.0
6.47,1.08,7.96,17.13,252.0,556.0,962.0,319.0
6.35,1.1,8.0,17.2,255.0,561.0,962.0,309.0
7.38,0.94,7.68,16.66,255.0,561.0,962.0,309.0
6.4,1.09,7.98,17.17,255.0,561.0,962.0,309.0
6.83,1.02,7.84,16.93,254.0,561.0,962.0,309.0
-3.31,-2.43,7.66,33.99,255.0,561.0,962.0,309.0
7.38,0.94,7.68,16.66,256.0,565.0,962.0,302.0
6.35,1.1,8.0,17.2,256.0,565.0,962.0,302.0
7.38,0.94,7.68,16.66,256.0,565.0,962.0,302.0
6.83,1.02,7.84,16.93,256.0,565.0,962.0,302.0
11.03,3.29,7.84,14.66,271.0,670.0,959.0,255.0
11.03,3.29,7.84,14.66,271.0,671.0,960.0,255.0
11.03,3.29,5.57,14.66,284.5,778.0,957.0,236.0
11.09,3.28,5.55,14.64,284.0,778.0,957.0,236.0
21.53,0.51,8.92,15.23,284.0,778.0,957.0,236.0
17.81,6.56,4.69,15.19,293.0,956.0,654.0,219.0
17.81,6.56,4.69,15.19,293.0,956.0,654.0,219.0
21.71,2.94,2.45,16.21,304.0,960.0,878.0,212.0
21.71,2.94,2.45,16.21,304.0,960.0,878.0,212.0
14.23,2.21,14.23,12.23,304.0,960.0,878.0,212.0
8.53,0.81,18.42,16.22,242.0,269.0,962.0,344.0
7.91,0.87,18.67,16.44,242.0,269.0,963.0,344.0
7.94,0.87,18.65,16.43,241.0,269.0,963.0,345.0
6.83,1.02,19.2,16.93,241.0,269.0,963.0,345.0
6.92,1.0,19.15,16.88,212.0,264.0,962.0,350.0
6.35,1.1,19.5,17.2,211.0,264.0,962.0,350.0
7.97,0.87,18.64,16.42,210.0,264.0,962.0,350.0
7.43,0.93,18.89,16.64,210.0,263.0,962.0,350.0
6.87,1.01,19.18,16.91,210.0,263.5,962.5,350.0
7.38,0.94,18.91,16.66,210.0,263.0,962.0,350.0
7.38,0.94,18.91,16.66,210.0,263.0,962.0,350.0
6.35,1.1,19.5,17.2,208.0,262.5,962.0,351.5
6.77,1.03,19.23,16.96,207.0,262.0,962.0,351.5
6.35,1.1,19.5,17.2,207.0,262.0,962.0,351.0
12.48,3.1,16.44,14.22,207.0,262.0,962.0,351.0
10.47,3.39,17.17,14.87,269.0,284.0,957.0,299.0
11.77,3.18,16.66,14.42,269.0,284.0,957.0,299.0
6.83,1.02,19.2,16.93,217.0,264.0,962.0,340.0
10.01,0.69,17.98,15.82,217.0,264.0,961.0,340.0
10.01,0.69,17.98,15.82,263.0,271.0,965.0,370.0
11.82,0.58,17.6,15.47,262.0,271.0,965.0,370.0
11.76,0.58,17.61,15.48,278.0,272.5,962.0,374.0
10.88,0.63,17.78,15.63,281.0,273.0,962.0,370.0
12.82,0.41,16.96,14.89,281.0,273.0,962.0,370.0
12.63,0.34,16.73,14.68,298.0,276.0,965.0,371.0
12.63,0.34,16.73,14.68,298.0,276.0,965.0,371.0
12.63,0.34,16.73,14.68,298.0,276.0,965.0,371.0
12.36,0.25,16.4,14.38,297.0,275.0,965.0,371.0
12.28,0.23,16.3,14.29,286.0,273.0,968.0,366.0
12.23,0.21,16.23,14.23,286.0,273.0,968.0,366.0
14.27,0.22,14.27,14.27,292.0,286.0,964.0,334.0
13.08,0.49,17.27,15.18,292.0,286.0,964.0,334.0
13.07,0.49,17.26,15.17,286.5,273.0,964.0,373.0
